CODLINHA,NOMELINHA,CODVEICULO,NUMEROCARTAO,DATAUTILIZACAO,COMPLETENESS,CONSISTENCY,CONFORMITY
000,OPER S/LINHA,03046,33213Z,,80,80,50
B,OPER S/LINHA,03046,3386616,25/10/15 20:22:01,100,60,75
,OPER S/LINHA,74346,,18/01/75 07:07:01,60,20,50
000,OPER S/LINHA,,0725423730,25/10/15 20:21:57,80,80,75
,OPER S/LINHA,,,,20,20,0
,OPER S/LINHA,GDU0265,3386616,2015-10-25 00:3:01,80,40,25
6,OPER S/LINHA,4P4606,97300,03/07/88 03:12:59,100,20,50
,OPER S/LINHA,,257883381,2015-10-25 21:19:4,60,40,25
,OPER S/LINHA,9D687,,,40,20,0
,V. VELHA,,3352444,,40,20,25
,OPER S/LINHA,JC014,,25/10/15 11:47:05,60,60,50
,,48827,,2015-10-25 16:08:57,40,20,25
000,,03058,282494903017f,2015-10-25 16:9:03,80,60,50
000,,,,,20,20,25
000,,,3394754,25/10/15 21:29:13,60,40,75
512,OPER S/LINHA,GJ872,555717,08/12/22 23:27:07,100,40,100
,OPER S/LINHA,,,,20,20,0
Q6,OPER S/LINHA,PI063,,2015-10-25 23:4:49,80,40,25
000,V. SUIÇA,,,,40,40,25
,,,,10/11/76 02:11:59,20,0,25
B60,CAMPO ALEGRE,CV3852,,,60,20,25
M9,JÚLIO GRAF,MN604,345772145,2015-10-25 20:27:05,100,60,50
,OP. CONTIGENCIA,425255N,,,40,20,0
,OPER S/LINHA,MN607,96731,08/10/13 14:57:04,80,40,75
,OPER S/LINHA,,,2015-10-25 21:0:44,40,40,0
FWN,OPER S/LINHA,07027,85317945,,80,40,75
000,OPER S/LINHA,00004,,2015-10-25 00:54:6,80,100,50
,V. AUTÓDROMO,,0029074041614,,40,20,0
,,XJ207,3383807,25/10/15 19:37:13,60,20,75
,OP. CONTIGENCIA,HA287,,,40,40,25
,UBERLÂNDIA,,3383807,2015-10-25 02:52:4,60,40,25
,OPER S/LINHA,93282,3383807,18/11/86 20:03:06,80,20,75
,SABARÁ,,3383807,,40,20,25
5,,V8B894,3379525,2015-10-25 04:54:00,80,20,25
684,,QQ755,4q,31/11/22 13:25:03,80,20,75
,,,3379525,,20,0,25
,,68R811H,,,20,0,0
,CABRAL / PORTÃO,,,,20,20,0
000,B.VISTA/BARREIR,34623G,,2015-10-25 21:1:45,80,60,25
,,,784,,20,0,25
000,OPER S/LINHA,YI883,,20/06/44 22:37:03,80,60,75
,,,39777265391,21/06/78 11:13:26,40,0,25
,OPER S/LINHA,TNY4114,,25/10/15 23:44:56,60,40,25
000,CENT./BOQUEIRÃO ,Z69775,2211g,19/01/87 11:02:09,100,40,50
,OPER S/LINHA,05050,3384929,2015-10-25 3:04:14,80,60,50
51OM,INTERBAIRROS III,KB602,547,2015-10-25 22:45:16,100,60,50
,C.COMP/C.RASO,QM036V,958669,2015-10-25 6:9:0,80,40,25
0T4,OPER S/LINHA,KA605,193865399350,2015-10-25 8:01:07,100,60,50
ARA,ALTO BOQUEIRÃO,,,,40,40,25
LBLQ,,,,2015-10-25 10:21:05,40,20,0
,,PZ012,2,21/12/90 07:18:41,60,0,75
J,OPER S/LINHA,03028,3389299,09/06/32 00:08:09,100,40,75
000,,29139,726522M,30/07/79 00:29:02,80,20,75
97,,,3372659,,40,0,25
000,,03038,,2015-10-25 19:45:5,60,60,50
,INTERBAIRROS IV,VG960,1380825G,25/10/15 06:03:55,80,40,50
HYV0,OPER S/LINHA,09066,51,2015-10-25 00:04:4,100,60,50
,OPER S/LINHA,,,2015-10-25 00:27:48,40,40,0
000,OP. CONTIGENCIA,HA610,7,25/10/15 09:05:04,100,80,100
000,,GW874,,2015-10-25 12:23:33,60,40,50
000,,05058,,2015-10-25 6:00:55,60,60,50
000,,,,24/02/34 11:03:07,40,20,50
OPC,,,946177,25/10/15 07:30:53,60,40,75
,OPER S/LINHA,,,2015-10-25 00:21:7,40,40,0
M0B2Y,,,3355181,,40,0,25
,OPER S/LINHA,,10053178,2015-10-25 22:0:6,60,40,25
J6F,C.RASO/CAIUÁ,HA284,11t,,80,40,50
,,KH906,,31/11/88 00:24:03,40,0,50
,,09003,162393466012I,25/10/15 17:25:10,60,40,50
,OPER S/LINHA,,16614,2015-10-25 23:2:50,60,40,25
,OPER S/LINHA,,805,25/10/15 08:09:16,60,40,50
,NILO PEÇANHA,GI384,72223382750,,60,20,25
176,NILO PEÇANHA,RY786,9776737943,30/08/04 22:04:02,100,60,100
176,CABRAL / PORTÃO,16869,97513067441,2015-10-25 00:54:49,100,60,50
,NILO PEÇANHA,,,25/10/15 17:25:30,40,40,25
6,,X20958G,3361179,,60,0,25
,,,,,0,0,0
,OPER S/LINHA,,10041887,2015-10-25 05:49:03,60,40,25
,,U42906I,,,20,0,0
000,SAVÓIA,AC004,3884332948,25/10/15 06:01:00,100,80,100
,OP. CONTIGENCIA,03002,4091800698,25/10/15 18:51:22,80,60,75
Y0NR,,HA603,126,,60,20,50
,OP. CONTIGENCIA,AA015,,,40,40,25
,OPER S/LINHA,B659481,10028655,25/10/15 22:41:25,80,40,50
181,,FV429,,,40,20,50
5I,OPER S/LINHA,04075,,,60,20,25
1D,OPER S/LINHA,TR344,890,,80,20,50
,,WLP757,01801f,2015-10-25 00:48:44,60,20,0
,,LA002,68D,,40,20,25
821,RIO BONITO/CIC,,3341281,2015-10-25 16:00:56,80,60,50
L825,OPER S/LINHA,,,2015-10-25 00:06:58,60,40,0
Q,,HA290,3341281,,60,20,50
,,03932,8,2015-10-25 00:09:01,60,20,50
685,RIO BONITO/CIC,HA290,498,2015-10-25 22:08:08,100,100,75
,CARBOMAFRA,,,,20,20,0
,OPER S/LINHA,08037,946920652,25/10/15 06:46:45,80,60,75
,OPER S/LINHA,79004,792721089220c,,60,20,25
,,,3346959,25/10/15 11:58:53,40,20,50
28Z62,AVERDE/ABRANCHES,,2454869455p,,60,20,0
,,70738,1910,,40,0,50
,,,,,0,0,0
,XAXIM/CAPÃO RASO,,7084X,,40,20,0
000,,XP176,3493931,2015-10-25 20:6:53,80,40,75
,,,,25/10/15 14:57:17,20,20,25
,OP. CONTIGENCIA,,3494932,25/10/15 12:08:56,60,40,50
,INTERBAIRROS IV,22187,,,40,20,25
000,OPER S/LINHA,,341358559,,60,60,50
875,BIGORRILHO,G7I470,0762935137,,80,60,50
,,,3504633,,20,0,25
,FANNY,,,2015-10-25 00:9:9,40,40,0
,,,,,0,0,0
000,,,18113883898c,,40,20,25
,OPER S/LINHA,,3486679,25/10/15 17:44:38,60,40,50
,PQ.INDUSTRIAL,36725,,,40,20,25
88F5,OPER S/LINHA,,,,40,20,0
169,TRAMONTINA,,3499786,2015-10-25 00:24:37,80,60,50
7KZI1,OPER S/LINHA,50P4930,799165521i,25/10/15 19:08:47,100,40,25
,V. VELHA,,,2015-10-25 06:47:07,40,40,0
1,OPER S/LINHA,,3499786,2015-10-25 00:01:46,80,40,25
,OP. CONTIGENCIA,,,25/10/15 12:16:42,40,40,25
DK,,679405,3492201,,60,0,25
,,,3492201,,20,0,25
D,OPER S/LINHA,,3824231,,60,20,25
222,,KL777,967q,18/11/24 00:00:22,80,20,75
8,PQ.INDUSTRIAL,MV667,3491438,,80,20,50
670,,924658U,3488161,,60,20,50
670,OPER S/LINHA,XX212,,,60,40,50
000,,,796184389S,30/12/55 07:01:00,60,20,50
ARA,,,3426785,25/10/15 07:34:45,60,40,75
,PQ.INDUSTRIAL,,3426785,30/12/01 11:08:01,60,20,50
,OPER S/LINHA,PV549,17624,25/10/15 16:37:51,80,40,75
621,,600212,5332,23/05/58 16:34:16,80,20,75
OPC,,,506799858371r,25/10/15 18:29:10,60,40,50
,OPER S/LINHA,,,25/10/15 18:29:01,40,40,25
,DETRAN/V.MACHADO,,3434765,31/09/11 21:01:08,60,20,50
,OPER S/LINHA,07027,3434765,2015-10-25 00:44:8,80,60,50
,,,3B,,20,0,0
,,250529,3416350,,40,0,25
GQ0X,BAIRRO NOVO A,8ZK976H,,25/10/15 11:57:03,80,40,25
629,PINHEIRINHO/ZOO,UWQ411Y,3441291,,80,40,50
,,,3446568,2015-10-25 23:38:26,40,20,25
,OPER S/LINHA,7M5727,,,40,20,0
000,,,,22/12/59 23:06:13,40,20,50
P8Y,OPER S/LINHA,,3416880,,60,20,50
,,03021,66556911,,40,20,50
561,OPER S/LINHA,,3435663,,60,40,50
000,,,,30/04/88 17:06:08,40,20,50
,OPER S/LINHA,,3435663,2015-10-25 0:43:8,60,40,25
,OPER S/LINHA,,3435663,13/02/41 02:57:19,60,20,50
,OPER S/LINHA,,3455760,2015-10-25 00:16:24,60,40,25
56VXF,,,3445198,,40,0,25
,SÃO BRAZ,,3221985941567,,40,20,0
,,06050,,05/10/31 00:58:19,40,20,50
7,INTERBAIRR II H,80625,,29/10/50 00:08:07,80,20,50
616,RIO NEGRO,VS903,,25/10/15 06:14:02,80,60,75
712,OPER S/LINHA,VF399,63,2015-10-25 14:02:24,100,60,75
000,OPER S/LINHA,37180,,,60,60,50
000,OPER S/LINHA,08065,3438315,16/11/44 03:12:32,100,80,100
000,TRINDADE,0O492,3438315,,80,40,50
,,,8115714402725p,,20,0,0
,,,,25/10/15 11:47:38,20,20,25
040,,,2104339490071,,40,20,25
,,N42797,3485650,,40,0,25
026PB,OPER S/LINHA,,843346l,30/11/60 22:03:08,80,20,25
000,,J966727,3450270,,60,20,50
000,S.RITA/PINHEIRIN,HA291,25o,25/10/15 13:02:44,100,80,75
000,,85847,9541054453715g,23/11/41 15:05:02,80,20,75
17G,INTERBAIRR II H,DR102,99110,25/10/15 22:28:51,100,60,100
000,,40593,3482857,31/01/27 00:05:54,80,20,100
,,OF814,3482857,2015-10-25 22:1:50,60,20,50
7KR,OPER S/LINHA,41079,44885,2015-10-25 18:09:17,100,40,75
,INTERBAIRROS III,7G8860,,25/10/15 07:26:10,60,40,25
000,OPER S/LINHA,,3468284,25/10/15 20:27:52,80,80,75
,,,3468284,30/05/93 07:43:05,40,0,50
Y8,OPER S/LINHA,,,,40,20,0
000,,,3464695,25/10/15 18:44:02,60,40,75
338,OPER S/LINHA,JA436F,,31/02/92 19:05:00,80,40,50
W7,,80972,,2015-10-25 15:7:6,60,20,25
000,INTERBAIRROS III,,3803993,,60,40,50
,,9H571I,3488163,2015-10-25 5:47:33,60,20,25
VUL,OPER S/LINHA,KX156,3743c,2015-10-25 17:02:40,100,40,50
,,JY508,3474443,2015-10-25 18:04:1,60,20,50
000,JD. ITÁLIA,20U693,,,60,40,25
48Y,,,3474443,,40,0,50
,SÃO BRAZ,7W8165,3474443,25/10/15 16:36:12,80,40,50
338,S.RITA/PINHEIRIN,,06581653528G,2015-10-25 11:4:22,80,60,25
021,OPER S/LINHA,,,,40,40,25
2,OPER S/LINHA,,3482211,06/03/77 09:08:00,80,20,50
020,CAMPO ALEGRE,,,,40,40,25
,,IP970,718620642G,25/10/15 16:37:32,60,20,50
000,SABARÁ,6T680,3502301,2015-10-25 10:02:56,100,60,50
895,OPER S/LINHA,09004,,30/11/76 00:55:22,80,40,75
020,OPER S/LINHA,,,23/11/43 21:01:09,60,40,50
,SAGRADO CORAÇÃO,,3491702,2015-10-25 00:23:06,60,40,25
611,,41892,,2015-10-25 21:4:05,60,40,50
K41S,,,7926,26/10/15 00:18:40,60,0,50
685,RIO BONITO/CIC,,,,40,60,25
,,00989,,25/10/15 16:35:26,40,40,50
18,SISTEMA ARAUCARIA,,,,40,20,0
,OPER S/LINHA,VRL513,3481693,2015-10-25 23:22:26,80,40,25
93J0,,,955056091121,31/05/40 00:06:03,60,0,25
011,,,3487572,25/10/15 14:06:16,60,40,75
633,MARIA ANGÉLICA,,3487572,31/06/90 17:07:01,80,60,75
000,,0906672,3487572,25/10/15 21:11:58,80,40,75
,ALTO TARUMÃ,,5779466,2015-10-25 22:04:05,60,40,25
L9G,OPER S/LINHA,09058,,2015-10-25 00:04:00,80,60,50
511,,XQ587,,25/10/15 14:32:08,60,40,75
OPC,OPER S/LINHA,8R625,486101M,25/10/15 19:49:13,100,60,50
000,,73285,785497D,,60,20,50
,,79026,432601,,40,0,50
N94,OP. CONTIGENCIA,,,2015-10-25 23:9:00,60,40,25
,,UT8999,61113c,,40,0,0
,OPER S/LINHA,84166N,,25/10/15 11:48:08,60,40,25
000,,,5414356651,,40,20,50
,OPER S/LINHA,Q5Q789A,,,40,20,0
,,4AE3383,854695526,,40,0,25
BF82,,,,25/10/15 17:41:51,40,20,25
,,,3454794,25/10/15 17:41:53,40,20,50
,OPER S/LINHA,,,,20,20,0
615,,,3470078,25/10/15 08:33:24,60,40,75
,,,399,06/10/35 12:33:55,40,0,50
2FG8,V. AUTÓDROMO,AH910,3470639,2015-10-25 00:8:04,100,40,50
CM71,,03054,15091615057y,25/10/15 14:42:42,80,40,50
,V. SANDRA,95317,,15/11/05 13:07:13,60,20,50
HTM,PASSAÚNA,,3455891,,60,20,50
0,OPER S/LINHA,GN600,,,60,40,25
OPC,PQ.INDUSTRIAL,94Q103,3472141,30/10/11 14:04:11,100,40,75
,,04562,84150118217U,,40,0,25
4,,,,30/07/96 00:15:30,40,0,25
,JD. LUDOVICA,,61,,40,20,25
,CABRAL / OSÓRIO,2P057M,93678,,60,20,25
E467,OPER S/LINHA,547396,12008760142,14/04/06 18:48:02,100,20,25
000,,,0876385474,,40,20,50
01GX6,OPER S/LINHA,73461,,2015-10-25 22:04:51,80,40,25
000,OPER S/LINHA,49612,3426965,,80,60,75
,OPER S/LINHA,QH056,23345571,25/10/15 18:16:52,80,40,75
D,RUA XV / BARIGUI,QL934,,30/12/60 05:18:57,80,20,50
TPH,,,488786,05/06/20 07:12:00,60,20,75
,TRABALHADOR,69838,90383I,25/10/15 21:43:45,80,40,50
,,03019,,,20,20,25
523,TARUMÃ,61892,,01/09/55 02:02:03,80,40,75
000,,D94975,,,40,20,25
,JD.INDEPEND./CIC,HA016,3428636,25/10/15 08:07:42,80,60,75
,,03042,3420483,25/10/15 19:49:41,60,40,75
710W,,,11351204228844,07/11/06 16:00:44,60,0,25
3617D,PORTÃO / CIC,ML279,59,,80,20,50
,N. SRA. DA LUZ,LC020,3421117,2015-10-25 00:16:12,80,60,50
,OP. CONTIGENCIA,5G725,,23/11/22 21:04:09,60,20,25
AK,OPER S/LINHA,,3735213t,25/10/15 06:16:21,80,40,25
000,,,,25/10/15 23:20:38,40,40,50
000,,05056,,,40,40,50
NO78,C.RASO/CAIUÁ,,3438657,23/08/72 05:05:20,80,20,50
916,PINHEIROS,46808,40,,80,60,75
,C.RASO/CAIUÁ,JA017,,,40,40,25
,V. MARISA,,3435298,,40,20,25
916,PINHEIROS,6J603,698281007745,31/01/68 17:01:25,100,60,50
,,,004,20/09/74 14:06:05,40,0,50
000,,,,,20,20,25
000,OPER S/LINHA,,,,40,60,25
,OPER S/LINHA,,6196,,40,20,25
,OPER S/LINHA,4VN5315,,,40,20,0
,JD. ORDEM,,3436494,2015-10-25 21:50:00,60,40,25
665,,44J048C,,,40,20,25
3JC9,RURBANA,VT079,,,60,20,25
000,OPER S/LINHA,,,25/10/15 20:50:14,60,80,50
D8,OPER S/LINHA,75869,,,60,20,25
,,22414,95233146,2015-10-25 22:00:05,60,20,50
EI50,,IU3822,,,40,0,0
42109,OPER S/LINHA,KJD012,,,60,20,0
16,OPER S/LINHA,06004,826619734,31/01/38 16:00:06,100,40,75
,OPER S/LINHA,GA002,,25/10/15 06:45:15,60,60,50
1R,,458622M,,,40,0,0
E06,,,,2015-10-25 5:07:01,40,20,25
,,BA130,,,20,20,25
000,OPER S/LINHA,77061,,,60,60,50
,,590157F,210853773g,2015-10-25 12:03:59,60,20,0
,,342062,,25/10/15 10:30:05,40,20,25
205,,,3446605,2015-10-25 02:15:50,60,40,50
,STA. FELICIDADE,92981,,,40,20,25
,OPER S/LINHA,,9858516,05/11/40 00:21:52,60,20,50
,OPER S/LINHA,223722,,2015-10-25 00:4:08,60,40,0
000,INTERBAIRROS III,91000,92311E,2015-10-25 01:08:7,100,60,50
,OPER S/LINHA,,3453747,,40,20,25
,OPER S/LINHA,06057,3447170,25/10/15 18:31:37,80,60,75
,OPER S/LINHA,AL689,,2015-10-25 1:6:59,60,40,25
636,,S5O699,,2015-10-25 14:14:07,60,40,25
000,,ZZ807,,,40,20,50
,,,3437247,25/10/15 20:12:27,40,20,50
,ALIANÇA,LW564,3445905,25/10/15 18:44:01,80,40,75
9,ABAETÉ,UA201,63756,,80,20,50
,MOSSUNGUÊ,,,25/10/15 22:05:17,40,40,25
000,,,,25/10/15 14:38:48,40,40,50
000,OPER S/LINHA,00034,313804z,14/06/46 18:34:02,100,80,75
,,,3457339,,20,0,25
OPC,OP. CONTIGENCIA,,,25/10/15 08:14:35,60,80,50
XE48S,JD. ORDEM,,23593105,,60,20,25
2,OPER S/LINHA,,3457424,05/02/47 20:15:10,80,20,50
,,38135,3457424,,40,0,50
000,,72681,,2015-10-25 00:06:49,60,40,50
000,,,615,2015-10-25 00:11:6,60,40,50
862,OPER S/LINHA,,3469250,25/10/15 19:59:49,80,40,75
7,OPER S/LINHA,0D1436,3455606,2015-10-25 22:06:56,100,40,25
8I1,OPER S/LINHA,L1P947T,,,60,20,25
000,,,3444268,2015-10-25 19:2:08,60,40,50
,,09059,64455634,,40,20,50
000,,QBE197,,04/02/97 00:59:06,60,20,50
8J,PIRINEUS,M2X386L,3844416632126,2015-10-25 4:54:09,100,40,0
000,,0E742,3446194,,60,20,50
,OPER S/LINHA,,523464068833q,02/05/05 00:43:11,60,20,25
,,260529D,5772960354,,40,0,25
,,03006,9,,40,20,50
712,,,,2015-10-25 15:20:00,40,40,25
G7W,V. ESPERANÇA,21819,1,2015-10-25 8:31:00,100,40,75
,OPER S/LINHA,05059,37w,,60,40,25
JM2,OPER S/LINHA,UL178,3460726,,80,20,75
522,OPER S/LINHA,,2453017H,,60,40,25
,,2A813,27748,2015-10-25 2:20:35,60,20,25
EF,,37976,60780i,,60,0,25
,,,9,,20,0,25
000,OPER S/LINHA,54119,976,,80,60,75
,LARANJEIRAS,,672170500943v,01/01/50 21:06:17,60,20,25
4,,,,2015-10-25 22:57:36,40,20,0
ARA,SISTEMA ARAUCARIA,,,2015-10-25 13:00:6,60,80,25
ARA,SISTEMA ARAUCARIA,ME555,3511007,2015-10-25 00:32:01,100,80,75
,OPER S/LINHA,11585,,25/10/15 20:36:30,60,40,50
,SAVÓIA,,,,20,20,0
LF8N,OPER S/LINHA,US257,,,60,20,25
,FERNÃO DIAS,7XR491V,57850108279,,60,20,0
8,,MN606,,2015-10-25 00:04:08,60,40,25
000,OLARIA,MA011,87958y,27/01/98 22:16:05,100,60,75
,INTERBAIRROS IV,21623,,,40,20,25
K,OP. CONTIGENCIA,,93839972916,,60,20,0
901,,,29859604691,11/11/38 22:46:58,60,20,50
13B35,,O15756Z,3491879,,60,0,25
000,OPER S/LINHA,9B245,,,60,60,25
000,OPER S/LINHA,07030,,25/10/15 22:29:01,80,100,75
,RURBANA,30246,0887728,,60,20,50
H,,,,2015-10-25 08:6:07,40,20,0
,,4Y914,,,20,0,0
FZUJ,,AA030,3475649,25/10/15 13:48:17,80,40,75
000,OPER S/LINHA,,2758883S,,60,60,25
334K,OPER S/LINHA,02034,3434128,25/10/15 07:01:23,100,60,75
,TERMINAL PINHEIRINHO,40757,,25/10/15 22:04:52,60,40,50
000,,31598,2943168567474S,2015-10-25 12:17:34,80,40,50
617,INTERBAIRROS III,,,,40,40,25
,,,460226,,20,0,25
8Q,MAD. PETRÓPOLIS / SOLITUDE,,,2015-10-25 12:31:39,60,40,0
000,,11519,3473454,,60,20,75
0223Z,OSTERN/S.CERCADO,,3415102,,60,20,25
000,OPER S/LINHA,LT024,30,25/10/15 09:47:03,100,80,100
000,,GT372,3434437,,60,20,75
,OPER S/LINHA,P53351,21,2015-10-25 00:40:42,80,40,25
,TUBO FANNY,,,2015-10-25 13:01:3,40,40,0
78,,,3431663,,40,0,25
,OPER S/LINHA,72924,3424588,,60,20,50
5,SAGRADO CORAÇÃO,03047,3424588,30/02/70 11:09:36,100,40,75
,OPER S/LINHA,,,2015-10-25 01:09:00,40,40,0
826,OPER S/LINHA,,944779617s,02/09/14 00:09:25,80,40,50
040,PETRÓPOLIS,SQ736,,25/10/15 18:49:28,80,60,75
,INTERBAIRROS III,,6176387947330,,40,20,0
322,OP. CONTIGENCIA,,3423573,31/12/80 03:24:06,80,40,75
,OPER S/LINHA,,3514996,25/10/15 13:26:00,60,40,50
Z734,,,9370391535035,2015-10-25 00:15:3,60,20,0
468,C.RASO/CAIUÁ,,3464378,2015-10-25 10:26:38,80,60,50
000,,,5P,26/07/46 00:02:00,60,20,50
,,,,,0,0,0
,,CC195,3502381,,40,20,50
5,OPER S/LINHA,,1011544A,,60,20,0
,OP. CONTIGENCIA,MQ239,3516032,25/10/15 16:37:18,80,40,75
,,F637234,1196582505,,40,0,25
,,03012,,2015-10-25 00:03:43,40,40,25
X,OP. CONTIGENCIA,HA283,,,60,40,25
000,,,,29/11/55 23:02:03,40,20,50
000,,07002,3517622,,60,40,75
,CARBOMAFRA,,,,20,20,0
168,,KVH404A,3517622,31/07/13 19:08:20,80,20,75
TSB,PQ.INDUSTRIAL,57093,3517841,,80,40,75
,,32221,,,20,0,25
L5B,OPER S/LINHA,QY514,,,60,20,50
,,43759,8728066,25/10/15 18:56:08,60,20,75
OPC,DETRAN/V.MACHADO,,,25/10/15 21:49:49,60,60,50
380,OPER S/LINHA,8G647,,25/10/15 21:49:46,80,60,50
,,,3429163,2015-10-25 00:40:02,40,20,25
,,,3429163,,20,0,25
,,05039,3429163,2015-10-25 14:42:5,60,40,50
000,MONTANA,72A4682,,2015-10-25 21:10:8,80,60,25
965,OPER S/LINHA,,,2015-10-25 00:31:08,60,60,25
HO,,,75503Z,25/10/15 12:20:57,60,20,25
901,STA. FELICIDADE,,3492277,,60,60,50
,STA. FELICIDADE,O2I873,,2015-10-25 8:03:01,60,40,0
000,INTERBAIRROS III,,3518253,,60,40,50
000,,ZB919,3518253,02/04/03 20:06:44,80,20,100
,OPER S/LINHA,64340,3510430,,60,20,50
000,OPER S/LINHA,,3510430,31/10/80 18:02:05,80,60,75
43QYM,INTERBAIRROS IV,80346,,2015-10-25 21:02:3,80,40,25
,INTERB II ANTI H,DV406,3510430,,60,20,50
,,D4P256H,,31/08/31 00:58:29,40,0,25
O,,,3513494,25/10/15 18:16:18,60,20,50
8L,OPER S/LINHA,,,13/12/73 11:51:36,60,20,25
,V. SÃO PAULO,,,06/11/29 18:03:01,40,20,25
000,OPER S/LINHA,07030,2025424598984,,80,80,50
O3,JD. CHAPARRAL,,,2015-10-25 23:05:52,60,40,0
,,,,2015-10-25 10:09:54,20,20,0
N5549,V. SUIÇA,,,2015-10-25 17:9:5,60,40,0
040,,Z0B2937,3513104,,60,20,50
811,JD.INDEPEND./CIC,AA021,90949,08/12/92 23:10:24,100,60,100
ARA,,,3513364,,40,20,50
,SISTEMA ARAUCARIA,25542,3513364,2015-10-25 16:8:6,80,40,50
,INTERBAIRROS V,8N415,,25/10/15 16:39:48,60,40,25
8AM,PIRINEUS,661511,,,60,20,25
,OP. CONTIGENCIA,5D0022,126686577o,30/04/47 00:05:04,80,20,25
,,,3511188,,20,0,25
000,,55827,3511188,30/06/59 20:02:23,80,20,100
OPC,,A07559,,,40,20,25
,,03050,3518647,2015-10-25 3:33:03,60,40,50
B,,OG1664,,,40,0,0
024,OPER S/LINHA,05040,26089249082,2015-10-25 00:01:05,100,60,50
000,,,3513939,2015-10-25 16:2:54,60,40,50
,OPER S/LINHA,,,,20,20,0
000,,,3517241,,40,20,50
000,,XS803,,25/10/15 12:52:12,60,40,75
,OPER S/LINHA,,8816631487787z,2015-10-25 10:44:1,60,40,0
A5CN,,,,25/10/15 17:19:57,40,20,25
N12,V. VELHA,RPF610,,,60,20,25
,OPER S/LINHA,00021,3478026,2015-10-25 00:07:09,80,60,50
000,OPER S/LINHA,00021,3478026,,80,80,75
,,7B398G,1015376426120,30/01/58 00:07:07,60,0,25
,OPER S/LINHA,13854,138j,2015-10-25 8:03:1,80,40,25
,V. CUBAS,TK638,3503098,,60,20,50
,OPER S/LINHA,7P261,,2015-10-25 22:02:08,60,40,0
040,INTERBAIRROS IV,99117,,2015-10-25 05:03:6,80,80,50
,OP. CONTIGENCIA,,749k,25/10/15 17:26:08,60,40,25
OPC,OPER S/LINHA,AA010,3480231,,80,60,75
OPC,OP. CONTIGENCIA,,,20/02/16 06:00:44,60,60,50
7P2,,,,,20,0,25
,OLARIA,44246G,3491485,11/12/39 00:04:01,80,20,50
,,,4073814891486x,29/03/43 22:00:04,40,0,25
,,,,,0,0,0
021,OPER S/LINHA,Z9U8751,16,25/10/15 06:01:50,100,60,75
275S,,,,25/10/15 10:15:17,40,20,25
,PARIGOT DE SOUZA,312272,,25/10/15 18:28:36,60,40,25
56F,OPER S/LINHA,31M101,,2015-10-25 23:04:03,80,40,25
OPC,OP. CONTIGENCIA,,,25/10/15 17:15:42,60,80,50
,INTERB II ANTI H,AA287,,10/12/67 00:07:02,60,40,50
332,ACRÓPOLE,,114605,,60,60,50
,,,262656,,20,0,25
,GABINETO,,91224425751,,40,20,0
,MARINGÁ,,2417935696853d,,40,20,0
000,OP. CONTIGENCIA,,3445380,,60,40,50
,JD. CENTAURO,00001,64824133554,,60,40,25
000,OPER S/LINHA,08061,7231883131q,03/11/60 08:43:48,100,80,75
,,RGJ110,3428521,,40,0,25
D,,4005810,3428521,2015-10-25 17:44:3,80,20,25
R41,ITAMARATI,OV268,,,60,20,50
68LDV,INTERBAIRROS IV,RL488,,2015-10-25 12:03:09,80,40,25
,V. REX,O695084,3432928,2015-10-25 00:07:15,80,40,25
,OPER S/LINHA,,,25/10/15 10:57:04,40,40,25
000,OPER S/LINHA,,7965754,2015-10-25 00:48:33,80,80,50
000,SÃO BENEDITO,24178P,3504474,,80,40,50
OPC,OP. CONTIGENCIA,AA025,86903,25/10/15 18:36:53,100,100,100
020,,HB301,55099247,30/12/93 00:39:56,80,40,100
L2,,,,11/11/31 00:07:00,40,0,25
,INTERBAIRROS IV,03034,,30/04/08 07:34:14,60,40,50
,OPER S/LINHA,09033,96614701586152,2015-10-25 02:2:01,80,60,25
911,INTERBAIRR II H,,3461834,,60,40,50
000,,99012,17,29/11/20 07:12:01,80,20,100
TPH,,GB603,,,40,40,50
,INTERBAIRROS IV,,3512017,25/10/15 20:11:01,60,40,50
823,OPER S/LINHA,LA850,3447718,,80,60,75
000,,9X343,852,,60,20,50
338,,,,,20,20,25
,JD. KOSMOS,7DV4990,,,40,20,0
000,INTERB II ANTI H,GA138,,25/10/15 21:14:56,80,80,75
AO64,INTERBAIRROS III,BN405,782,2015-10-25 00:50:00,100,60,50
000,,,3497593,2015-10-25 00:04:34,60,40,50
,,,,29/09/31 13:06:06,20,0,25
,OPER S/LINHA,21354,,2015-10-25 07:08:12,60,40,25
,OP. CONTIGENCIA,DC852,658821840,31/05/91 00:02:56,80,40,75
8Y2P,OP. CONTIGENCIA,,,,40,20,0
OPC,OP. CONTIGENCIA,DC852,,2015-10-25 04:1:31,80,100,50
0S9,,,3479512,2015-10-25 22:04:06,60,20,50
828,,55206,437,2015-10-25 00:46:49,80,40,75
040,OPER S/LINHA,,,2015-10-25 00:21:7,60,60,25
,,,,02/11/33 10:04:56,20,0,25
000,OPER S/LINHA,03041,,,60,80,50
DQW,OPER S/LINHA,T7Y245,,28/05/53 12:06:03,80,20,50
,OP. CONTIGENCIA,,,2015-10-25 22:19:21,40,40,0
323,V. AUTÓDROMO,,3522164,19/11/78 08:06:09,80,60,75
,INTERBAIRROS IV,NW444T,,25/10/15 17:59:40,60,40,25
